iter	Logloss
0	0.6248931936
1	0.5647525127
2	0.5188153324
3	0.4780647992
4	0.4429206004
5	0.4114270869
6	0.3883888858
7	0.3663193177
8	0.3484507844
9	0.3314871585
10	0.3187412436
11	0.3053550131
12	0.294333353
13	0.2844009027
14	0.2759262353
15	0.2689742996
16	0.2624269848
17	0.2557860236
18	0.2503547568
19	0.245157692
20	0.2406862675
21	0.2369464094
22	0.2322471204
23	0.2289981561
24	0.2264478554
25	0.2231893202
26	0.2204304751
27	0.2179896346
28	0.2153440878
29	0.2131983123
30	0.2113328579
31	0.2093955921
32	0.2077896593
33	0.2060412406
34	0.2044131482
35	0.2031218462
36	0.2014764937
37	0.2000973836
38	0.1988836573
39	0.1978876239
40	0.1963028549
41	0.1947529346
42	0.1936789085
43	0.1923476296
44	0.1913702752
45	0.1901908347
46	0.1891236967
47	0.18802288
48	0.1874045692
49	0.1863733773
50	0.1856117196
51	0.1845572583
52	0.1836059049
53	0.1824757131
54	0.181998287
55	0.1811775704
56	0.1807382493
57	0.1800647316
58	0.1795154903
59	0.179050771
60	0.1782561216
61	0.177355035
62	0.1767334161
63	0.1760628703
64	0.1754202411
65	0.1746288982
66	0.1740045383
67	0.1733013613
68	0.1725787776
69	0.1719123552
70	0.1714792063
71	0.1710607848
72	0.1706951929
73	0.1700564124
74	0.1693962743
75	0.1688720702
76	0.1683814827
77	0.1678578428
78	0.1671589493
79	0.1666614841
80	0.1660907668
81	0.1657645913
82	0.1653112286
83	0.1648736803
84	0.1645738363
85	0.1640019348
86	0.1637984889
87	0.1633083586
88	0.1627935874
89	0.162501184
90	0.1622559132
91	0.1619803646
92	0.1615670774
93	0.1610076675
94	0.1606747104
95	0.1600604478
96	0.1596736232
97	0.1594853756
98	0.1589461737
99	0.1583918359
100	0.1579551343
101	0.1576286515
102	0.1572276573
103	0.1568780636
104	0.156471024
105	0.1562001695
106	0.1558172447
107	0.1556961804
108	0.1553305758
109	0.1550291842
110	0.1546485532
111	0.1542624429
112	0.1539117875
113	0.1532925163
114	0.152846417
115	0.1524594396
116	0.1520579703
117	0.1517933272
118	0.1514464124
119	0.1510102328
120	0.1507796227
121	0.150338129
122	0.1499992298
123	0.1497235021
124	0.1495139629
125	0.1493519901
126	0.1490604499
127	0.1486864897
128	0.1485443576
129	0.1483719352
130	0.1481169708
131	0.14772274
132	0.1475664377
133	0.147114298
134	0.1468973473
135	0.1464682525
136	0.1460656704
137	0.1458098108
138	0.1454832473
139	0.1451980041
140	0.1449837648
141	0.1448070217
142	0.1444805791
143	0.1440674167
144	0.1438889089
145	0.1435945723
146	0.1433357965
147	0.1430439131
148	0.14273596
149	0.1425384826
150	0.1421928594
151	0.1419494911
152	0.1417084416
153	0.1413761157
154	0.1411331683
155	0.1408909696
156	0.1406440182
157	0.1404394431
158	0.1403278819
159	0.1400620352
160	0.1398150951
161	0.1397085802
162	0.1395645086
163	0.1393077117
164	0.1391257278
165	0.1388253074
166	0.138526513
167	0.1382077652
168	0.1379676235
169	0.1377707641
170	0.1376723647
171	0.1374987532
172	0.1372718241
173	0.1368861124
174	0.1367610599
175	0.1364626148
176	0.1363351294
177	0.136093777
178	0.135885171
179	0.1356886619
180	0.1354759766
181	0.1350364211
182	0.1347198094
183	0.1344781595
184	0.1341608227
185	0.1339287886
186	0.1337015523
187	0.1334136198
188	0.1331317359
189	0.1329515305
190	0.1326138782
191	0.1324109779
192	0.1322744413
193	0.1320116179
194	0.1317873628
195	0.1314550563
196	0.1311157025
197	0.1310077192
198	0.1306893159
199	0.1303839162
200	0.1300995765
201	0.1298355076
202	0.129601989
203	0.1295182306
204	0.1292397057
205	0.1290206605
