iter	Passed	Remaining
0	16	16438
1	33	16489
2	48	16166
3	70	17533
4	92	18449
5	109	18104
6	125	17799
7	141	17556
8	157	17309
9	173	17187
10	190	17140
11	206	17020
12	222	16901
13	239	16839
14	254	16738
15	270	16643
16	286	16576
17	302	16505
18	318	16448
19	334	16385
20	349	16314
21	365	16253
22	381	16221
23	397	16152
24	412	16094
25	429	16105
26	445	16050
27	461	16034
28	477	15994
29	496	16041
30	515	16118
31	531	16089
32	547	16043
33	564	16026
34	579	15981
35	595	15947
36	611	15905
37	627	15883
38	643	15855
39	659	15816
40	675	15789
41	691	15783
42	708	15758
43	724	15733
44	740	15706
45	755	15674
46	772	15654
47	787	15627
48	803	15587
49	819	15563
50	835	15545
51	851	15517
52	867	15494
53	883	15476
54	898	15438
55	914	15421
56	930	15387
57	945	15357
58	961	15330
59	975	15289
60	991	15269
61	1007	15247
62	1025	15253
63	1042	15250
64	1059	15236
65	1075	15217
66	1091	15197
67	1107	15175
68	1123	15157
69	1139	15136
70	1154	15108
71	1169	15078
72	1185	15053
73	1201	15031
74	1217	15011
75	1233	14993
76	1249	14973
77	1265	14953
78	1282	14953
79	1299	14938
80	1315	14919
81	1329	14884
82	1345	14866
83	1360	14840
84	1376	14818
85	1392	14798
86	1406	14759
87	1424	14759
88	1440	14741
89	1454	14709
90	1469	14683
91	1485	14657
92	1500	14637
93	1516	14613
94	1532	14602
95	1552	14622
96	1569	14608
97	1584	14580
98	1599	14556
99	1615	14537
100	1631	14521
101	1647	14500
102	1662	14478
103	1678	14462
104	1695	14448
105	1710	14425
106	1726	14409
107	1740	14378
108	1755	14351
109	1771	14332
110	1787	14316
111	1803	14301
112	1819	14284
113	1835	14267
114	1852	14254
115	1867	14230
116	1885	14226
117	1900	14208
118	1917	14193
119	1933	14178
120	1948	14156
121	1964	14137
122	1980	14121
123	1995	14097
124	2009	14067
125	2025	14048
126	2041	14030
127	2057	14014
128	2074	14008
129	2090	13987
130	2105	13966
131	2120	13946
132	2135	13918
133	2150	13896
134	2166	13883
135	2182	13865
136	2197	13845
137	2212	13822
138	2228	13806
139	2244	13786
140	2259	13766
141	2274	13741
142	2290	13727
143	2306	13712
144	2322	13697
145	2339	13684
146	2354	13663
147	2369	13640
148	2385	13625
149	2401	13607
150	2418	13596
151	2434	13582
152	2449	13559
153	2464	13536
154	2481	13525
155	2497	13510
156	2513	13495
157	2528	13473
158	2543	13453
159	2559	13437
160	2577	13430
161	2591	13405
162	2610	13405
163	2626	13386
164	2641	13366
165	2657	13349
166	2672	13330
167	2687	13311
168	2702	13290
169	2718	13272
170	2732	13246
171	2748	13231
172	2764	13215
173	2780	13198
174	2794	13176
175	2810	13156
176	2824	13132
177	2840	13115
178	2855	13096
179	2870	13078
180	2885	13058
181	2901	13041
182	2917	13024
183	2932	13007
184	2948	12991
185	2964	12973
186	2979	12954
187	2995	12938
188	3011	12922
189	3028	12909
190	3044	12894
191	3060	12879
192	3076	12862
193	3092	12848
194	3108	12832
195	3126	12826
196	3142	12811
197	3158	12793
198	3174	12778
199	3190	12762
200	3205	12742
201	3221	12727
202	3237	12711
203	3251	12688
204	3268	12674
205	3284	12659
206	3300	12643
207	3315	12623
208	3330	12604
209	3346	12588
210	3362	12572
211	3378	12556
212	3394	12542
213	3409	12522
214	3424	12504
215	3440	12489
216	3456	12471
217	3472	12455
218	3487	12436
219	3504	12424
220	3519	12405
221	3535	12389
222	3550	12372
223	3567	12358
224	3582	12338
225	3597	12320
226	3612	12301
227	3628	12287
228	3646	12276
229	3663	12264
230	3679	12250
231	3695	12233
232	3710	12214
233	3726	12199
234	3741	12178
235	3757	12164
236	3772	12143
237	3786	12122
238	3802	12108
239	3817	12088
240	3833	12074
241	3848	12055
242	3864	12040
243	3881	12025
244	3896	12007
245	3912	11992
246	3928	11975
247	3944	11961
248	3959	11942
249	3975	11927
250	3990	11907
251	4005	11888
252	4021	11875
253	4038	11860
254	4052	11840
255	4067	11822
256	4084	11807
257	4099	11789
258	4115	11773
259	4130	11755
260	4145	11736
261	4159	11717
262	4180	11713
263	4195	11695
264	4210	11677
265	4225	11661
266	4241	11643
267	4258	11631
268	4274	11616
269	4290	11599
270	4306	11584
271	4322	11568
272	4337	11550
273	4352	11531
274	4367	11514
275	4383	11497
276	4399	11482
277	4413	11463
278	4428	11444
279	4443	11425
280	4458	11406
281	4472	11386
282	4489	11373
283	4504	11355
284	4518	11334
285	4534	11321
286	4550	11305
287	4565	11288
288	4580	11268
289	4595	11250
290	4610	11232
291	4625	11215
292	4640	11196
293	4654	11177
294	4668	11157
295	4684	11141
296	4702	11130
297	4720	11119
298	4735	11101
299	4750	11084
300	4765	11067
301	4780	11048
302	4795	11031
303	4811	11016
304	4826	10998
305	4843	10984
306	4859	10970
307	4875	10953
308	4890	10937
